unique_protein_id_A,symbol_id_A,species_A,unique_protein_id_B,symbol_id_B,species_B,cell_line,hour,study,interaction_type
P27824,CANX,homo sapien,Q8N766,EMC1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P27824,CANX,homo sapien,Q8N766,EMC1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P27824,CANX,homo sapien,Q8TCJ2,STT3B,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P27824,CANX,homo sapien,Q8TCJ2,STT3B,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P27824,CANX,homo sapien,Q8TDD1,DDX54,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P27824,CANX,homo sapien,Q8WVM8,SCFD1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P27824,CANX,homo sapien,Q96JB5,CDK5RAP3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P27824,CANX,homo sapien,Q9H089,LSG1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P27824,CANX,homo sapien,Q9P0L0,VAPA,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P27824,CANX,homo sapien,Q9P0L0,VAPA,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P27824,CANX,homo sapien,Q9P2E9,RRBP1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P27824,CANX,homo sapien,Q9P2E9,RRBP1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P27824,CANX,homo sapien,Q9UIQ6,LNPEP,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P15311,EZR,homo sapien,P15311,EZR,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P15311,EZR,homo sapien,Q9BY77,POLDIP3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P15311,EZR,homo sapien,O14964,HGS,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P15311,EZR,homo sapien,P26196,DDX6,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P15311,EZR,homo sapien,P62277,RPS13,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P15311,EZR,homo sapien,Q09666,AHNAK,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P15311,EZR,homo sapien,Q12768,WASHC5,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P15311,EZR,homo sapien,Q15366,PCBP2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P15311,EZR,homo sapien,Q9H9T3,ELP3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P15311,EZR,homo sapien,Q9NUP9,LIN7C,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P15311,EZR,homo sapien,Q9Y2A7,NCKAP1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P51151,RAB9A,homo sapien,P51151,RAB9A,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P51151,RAB9A,homo sapien,O15126,SCAMP1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P51151,RAB9A,homo sapien,P20340,RAB6A,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P51151,RAB9A,homo sapien,P50402,EMD,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P51151,RAB9A,homo sapien,P51149,RAB7A,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P51151,RAB9A,homo sapien,Q12768,WASHC5,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P51151,RAB9A,homo sapien,Q13011,ECH1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P51151,RAB9A,homo sapien,Q14683,SMC1A,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P51151,RAB9A,homo sapien,Q7L2E3,DHX30,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P51151,RAB9A,homo sapien,Q7Z2W4,ZC3HAV1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P51151,RAB9A,homo sapien,Q8TDD1,DDX54,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P51151,RAB9A,homo sapien,Q9NR31,SAR1A,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P51151,RAB9A,homo sapien,Q9P0L0,VAPA,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P51151,RAB9A,homo sapien,Q9P2E9,RRBP1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P51151,RAB9A,homo sapien,Q9UIQ6,LNPEP,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P27824,CANX,homo sapien,Q14847,LASP1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9H9B4,SFXN1,homo sapien,O94826,TOMM70,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9H9B4,SFXN1,homo sapien,P47985,UQCRFS1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9H9B4,SFXN1,homo sapien,Q3ZCQ8,TIMM50,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9H9B4,SFXN1,homo sapien,O75746,SLC25A12,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9H9B4,SFXN1,homo sapien,O94925,GLS,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9H9B4,SFXN1,homo sapien,P36957,DLST,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9H9B4,SFXN1,homo sapien,Q13011,ECH1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9H9B4,SFXN1,homo sapien,Q14683,SMC1A,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9H9B4,SFXN1,homo sapien,Q96C01,FAM136A,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9H9B4,SFXN1,homo sapien,Q96C36,PYCR2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9H9B4,SFXN1,homo sapien,Q99714,HSD17B10,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9H9B4,SFXN1,homo sapien,Q9H9B4,SFXN1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9H9B4,SFXN1,homo sapien,Q9NSE4,IARS2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9H9B4,SFXN1,homo sapien,Q9UJS0,SLC25A13,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P61160,ACTR2,homo sapien,P61160,ACTR2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P61160,ACTR2,homo sapien,O15145,ARPC3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P61160,ACTR2,homo sapien,P59998,ARPC4,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P61160,ACTR2,homo sapien,P61160,ACTR2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P61160,ACTR2,homo sapien,O15145,ARPC3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P61160,ACTR2,homo sapien,P59998,ARPC4,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q15717,ELAVL1,homo sapien,Q13501,SQSTM1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P84103,SRSF3,homo sapien,O75821,EIF3G,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P84103,SRSF3,homo sapien,P55884,EIF3B,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P84103,SRSF3,homo sapien,P11940,PABPC1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P84103,SRSF3,homo sapien,P31483,TIA1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P84103,SRSF3,homo sapien,P31483,TIA1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P55884,EIF3B,homo sapien,P84103,SRSF3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9Y2X7,GIT1,homo sapien,Q9Y2X7,GIT1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9Y2X7,GIT1,homo sapien,Q9Y2X7,GIT1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P23588,EIF4B,homo sapien,Q9Y3I0,RTCB,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P23588,EIF4B,homo sapien,Q92499,DDX1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P23588,EIF4B,homo sapien,O00571,DDX3X,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P23588,EIF4B,homo sapien,Q14152,EIF3A,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P23588,EIF4B,homo sapien,P55884,EIF3B,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P23588,EIF4B,homo sapien,P60228,EIF3E,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P23588,EIF4B,homo sapien,O00303,EIF3F,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P23588,EIF4B,homo sapien,O75821,EIF3G,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P23588,EIF4B,homo sapien,P09651,HNRNPA1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P23588,EIF4B,homo sapien,Q14103,HNRNPD,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P23588,EIF4B,homo sapien,Q00839,HNRNPU,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P23588,EIF4B,homo sapien,Q8IXT5,RBM12B,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P23588,EIF4B,homo sapien,P38159,RBMX,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P23588,EIF4B,homo sapien,P35268,RPL22,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P23588,EIF4B,homo sapien,P83731,RPL24,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P23588,EIF4B,homo sapien,P46783,RPS10,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P23588,EIF4B,homo sapien,P62277,RPS13,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P23588,EIF4B,homo sapien,P62263,RPS14,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P23588,EIF4B,homo sapien,P62851,RPS25,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P23588,EIF4B,homo sapien,P62854,RPS26,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P23588,EIF4B,homo sapien,P23396,RPS3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P23588,EIF4B,homo sapien,P62701,RPS4X,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P23588,EIF4B,homo sapien,P84103,SRSF3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P23588,EIF4B,homo sapien,Q13242,SRSF9,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P23588,EIF4B,homo sapien,P11940,PABPC1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P23588,EIF4B,homo sapien,Q93008,USP9X,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P23588,EIF4B,homo sapien,Q99613,EIF3C,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P23588,EIF4B,homo sapien,P23588,EIF4B,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P23588,EIF4B,homo sapien,Q93008,USP9X,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P23588,EIF4B,homo sapien,Q99613,EIF3C,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P26196,DDX6,homo sapien,P42224,STAT1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q96T88,UHRF1,homo sapien,Q96T88,UHRF1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q13085,ACACA,homo sapien,Q13085,ACACA,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O75643,SNRNP200,homo sapien,O75643,SNRNP200,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O75643,SNRNP200,homo sapien,P09651,HNRNPA1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O75643,SNRNP200,homo sapien,P43243,MATR3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q13283,G3BP1,homo sapien,P11940,PABPC1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9UN86,G3BP2,homo sapien,P11940,PABPC1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q06609,RAD51,homo sapien,Q06609,RAD51,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9UDY8,MALT1,homo sapien,Q9UDY8,MALT1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O75367,MACROH2A1,homo sapien,P38159,RBMX,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O75367,MACROH2A1,homo sapien,Q9HC52,CBX8,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O75367,MACROH2A1,homo sapien,Q9Y5B9,SUPT16H,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O75367,MACROH2A1,homo sapien,P09874,PARP1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O75367,MACROH2A1,homo sapien,P52701,MSH6,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O75367,MACROH2A1,homo sapien,P43243,MATR3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O75367,MACROH2A1,homo sapien,Q13242,SRSF9,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O75367,MACROH2A1,homo sapien,Q14498,RBM39,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q13501,SQSTM1,homo sapien,Q13501,SQSTM1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q06609,RAD51,homo sapien,Q06609,RAD51,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q06609,RAD51,homo sapien,P25205,MCM3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9Y4H2,IRS2,homo sapien,Q93008,USP9X,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q93009,USP7,homo sapien,Q93009,USP7,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q96AE4,FUBP1,homo sapien,Q9UHX1,PUF60,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9Y2X7,GIT1,homo sapien,Q9Y2X7,GIT1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q06609,RAD51,homo sapien,Q13501,SQSTM1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q13501,SQSTM1,homo sapien,P09874,PARP1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q13501,SQSTM1,homo sapien,Q06609,RAD51,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q8ND56,LSM14A,homo sapien,P26196,DDX6,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q8ND56,LSM14A,homo sapien,P26196,DDX6,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P26196,DDX6,homo sapien,Q8ND56,LSM14A,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q8ND56,LSM14A,homo sapien,P26196,DDX6,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q8ND56,LSM14A,homo sapien,P26196,DDX6,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q8ND56,LSM14A,homo sapien,P62312,LSM6,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q8ND56,LSM14A,homo sapien,Q9UK45,LSM7,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q06609,RAD51,homo sapien,Q06609,RAD51,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P78527,PRKDC,homo sapien,P78527,PRKDC,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O14974,PPP1R12A,homo sapien,P36873,PPP1CC,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,O14974,PPP1R12A,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,O14974,PPP1R12A,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,Q9HCD5,NCOA5,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,P14866,HNRNPL,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,Q14966,ZNF638,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,Q12906,ILF3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,Q9BUJ2,HNRNPUL1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,P62995,TRA2B,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,P84103,SRSF3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,Q9NYF8,BCLAF1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,Q9H307,PNN,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,P07910,HNRNPC,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,Q07955,SRSF1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,P08123,COL1A2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,Q13595,TRA2A,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,Q01130,SRSF2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,Q69YQ0,SPECC1L,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,Q07666,KHDRBS1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,Q92841,DDX17,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,Q9Y2W1,THRAP3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,Q96I25,RBM17,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,Q16629,SRSF7,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,Q14980,NUMA1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,Q13310,PABPC4,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,Q9UKV3,ACIN1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,P56537,EIF6,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,Q93009,USP7,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,P52907,CAPZA1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,Q13247,SRSF6,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,P67809,YBX1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,P17844,DDX5,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,Q5BKZ1,ZNF326,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,Q9NQW6,ANLN,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,Q9NYL9,TMOD3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,Q9NZI8,IGF2BP1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,O00425,IGF2BP3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,P19338,NCL,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,Q7L2E3,DHX30,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,P36873,PPP1CC,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,Q13523,PRPF4B,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,P62140,PPP1CB,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,P11940,PABPC1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,Q13045,FLII,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,Q9ULV4,CORO1C,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,P62888,RPL30,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,P23396,RPS3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,P08670,VIM,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,P62136,PPP1CA,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,P16401,H1-5,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,P52272,HNRNPM,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,P63244,RACK1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,P26373,RPL13,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,Q5SSJ5,HP1BP3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,P62851,RPS25,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,Q9Y5B9,SUPT16H,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,Q9Y3Y2,CHTOP,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,P46783,RPS10,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,P62263,RPS14,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,P15880,RPS2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,P63173,RPL38,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,P50402,EMD,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,P42285,MTREX,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,P46776,RPL27A,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,Q02878,RPL6,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,P35268,RPL22,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,P83731,RPL24,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,P62829,RPL23,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,Q9Y3U8,RPL36,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,P61313,RPL15,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,P62917,RPL8,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,P61254,RPL26,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,Q9NUP9,LIN7C,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,Q15149,PLEC,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P36873,PPP1CC,homo sapien,P62701,RPS4X,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
