symbol_id_A,unique_protein_id_A,species_A,interactor_B,species_B,cell_line,hour,study,interaction_type
PSMD2,Q13200,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
PSMD3,O43242,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
PSMD4,P55036,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
GOPC,Q9HD26,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
ATP13A1,Q9HD20,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RTN4,Q9NQC3,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
TMEM159,Q96B96,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
DOLPP1,Q86YN1,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
CORO1B,Q9BR76,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
SLC39A10,Q9ULF5,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
ADGRG6,Q8IYH5,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
ERGIC1,Q969X5,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
SNX14,Q9Y5W7,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
PBXIP1,Q96AQ6,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
SCYL1,Q96KG9,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RHBDD2,Q6NTF9,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
WDR18,Q9BV38,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
GRAMD1B,Q3KR37,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
ESYT2,A0FGR8,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
NCEH1,Q6PIU2,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RIC1,Q4ADV7,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
STIM2,Q9P246,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
DHX37,Q8IY37,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
GRAMD1A,Q96CP6,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
PTPN1,P18031,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
PTPN2,P17706,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
GPR107,Q5VW38,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
CYP4F11,Q9HBI6,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
PTPRJ,Q12913,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
PWP2,Q15269,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
SRPRB,Q9Y5M8,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RAB1A,P62820,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RAB2A,P61019,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RAB3B,P20337,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RAB6A,P20340,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RAB13,P51153,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RAB27A,P51159,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RAB27B,O00194,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RAB5C,P51148,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RAC1,P63000,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RAN,P62826,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RAP1A,P62834,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RECQL,P46063,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
MYG1,Q8IYH5,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
ABCE1,P61221,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
HCN2,Q9UL51,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RPL3,P39023,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RPL6,Q02878,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RPL7,P18124,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RPL7A,P62424,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RPL8,P62917,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RPL9,P32969,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RPL11,P62913,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RPL12,P30050,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RPL13,P26373,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RPL15,P61313,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RPL18,Q07020,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RPL18A,Q02543,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RPL21,P46778,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RPL22,P35268,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RPL23A,P62750,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RPL26,P61254,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RPL27,P61353,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RPL30,P62888,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RPL27A,P46776,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RPL28,P46779,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RPL32,P62910,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RPL35A,P18077,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RPL36AL,Q969Q0,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RPL37A,P61513,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RPN1,P04843,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RPN2,P04844,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RPS3,P23396,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RPS4X,P62701,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RPS4Y1,P22090,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RPS6,P62753,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RPS7,P62081,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RPS9,P46781,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RPS11,P62280,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RPS16,P62249,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RPS23,P62266,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RPS24,P62847,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RPS26,P62854,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RPS27,P42677,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RRBP1,Q9P2E9,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
SC5D,O75845,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
SCD,O00767,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
SDHA,P31040,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
SEC13,P55735,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
DNAJC1,Q96KC8,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
STRA6,Q9BX79,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
ATL2,Q8NHH9,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
BLVRB,P30043,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
ACBD3,Q9H3P7,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RUSF1,Q8IYH5,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
FNDC3B,Q53EP0,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
ELOVL1,Q9BW60,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
SLC1A5,Q15758,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
SLC2A1,P11166,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
SLC4A2,P04920,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
UBE2Z,Q9H832,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
SLC6A6,P31641,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
GPR89A,B7ZAQ6,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
SLC7A1,P30825,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
SLC12A2,P55011,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
SLC12A4,Q9UP95,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
SLC16A1,P53985,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
DDRGK1,Q96HY6,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
FSCN1,Q16658,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
BNIP1,Q12981,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
SNRPD1,P62314,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
SOAT1,P35610,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
SORD,Q00796,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
SQLE,Q14534,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
SRC,P12931,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
SREBF1,P36956,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
SREBF2,Q12772,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
SRPRA,Q8IYH5,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
ST13,P50502,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
STIM1,Q13586,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
STX5,Q13190,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
STXBP3,O00186,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
SURF4,O15260,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
VAMP7,P51809,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
ADAM17,P78536,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
TAP2,Q03519,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
PPAN-P2RY11,Q8IYH5,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
TCP1,P17987,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
TFRC,P02786,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
TMPO,P42166|P42167,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
TRAF2,Q12933,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
DNAJC7,Q99615,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
TTC4,O95801,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
TUFM,P49411,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
UCHL1,P09936,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
SLC35A2,P78381,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
UGDH,O60701,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
VDAC2,P45880,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
VDAC3,Q9Y277,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
VRK2,Q86Y07,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
MYRF,Q9Y2G1,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
WFS1,O76024,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
CA8,P35219,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
CA12,O43570,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
SLC30A1,Q9Y6M5,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
LRP8,Q14114,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RAB7A,P51149,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
GGCT,O75223,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
REEP5,Q00765,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
ATG9A,Q7Z3C6,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
TMEM109,Q9BVC6,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
CAD,P27708,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RETREG2,Q8IYH5,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
DERL1,Q9BUN8,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
MBOAT7,Q96N66,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
FA2H,Q7L5A8,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
DDX39B,Q13838,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RHBDF2,Q6PJF5,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
NOL9,Q5SY16,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
TMC7,Q7Z402,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
KIAA0319L,Q8IZA0,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
UBXN8,O00124,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
NOL10,Q9BSC4,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
ERMP1,Q7Z2K6,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
DNAJB14,Q8TBM8,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
CDK5RAP3,Q96JB5,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
REEP4,Q9H6H4,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
NDFIP1,Q9BT67,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
CYB5B,O43169,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
LNPK,Q8IYH5,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
AAAS,Q9NRG9,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
CLPTM1L,Q96KA5,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
SLC7A5,Q01650,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
PTDSS2,Q9BVG9,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
HM13,Q8TCT9,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
SLC38A1,Q9H2H9,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
TMX1,Q9H3N1,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
YIPF5,Q969M3,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
UNC93B1,Q9H1C4,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
VMP1,Q96GC9,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
NETO2,Q8NC67,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
VANGL1,Q8TAA9,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RAB1B,Q9H0U4,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
SEH1L,Q96EE3,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
CAMLG,P49069,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
CHAF1B,Q13112,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
CANX,P27824,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
FZD6,O60353,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
ADPGK,Q9BRR6,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RAB34,P0DI83|Q9BZG1,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
